REGION,GLOBIOM_COUNTRY
ArgentinaReg,Argentina
AustraliaReg,Australia
BrazilReg,Brazil
CanadaReg,Canada
ChinaReg,China
CongoBasin,Cameroon
CongoBasin,CentAfrRep
CongoBasin,CongoDemR
CongoBasin,CongoRep
CongoBasin,EqGuinea
CongoBasin,Gabon
EU_Baltic,Estonia
EU_Baltic,Latvia
EU_Baltic,Lithuania
EU_CentralEast,Bulgaria
EU_CentralEast,Croatia
EU_CentralEast,CzechRep
EU_CentralEast,Hungary
EU_CentralEast,Poland
EU_CentralEast,Romania
EU_CentralEast,Slovakia
EU_CentralEast,Slovenia
EU_MidWest,Austria
EU_MidWest,Belgium
EU_MidWest,France
EU_MidWest,Germany
EU_MidWest,Luxembourg
EU_MidWest,Netherlands
EU_North,Denmark
EU_North,Finland
EU_North,Ireland
EU_North,Sweden
EU_North,UK
EU_South,Cyprus
EU_South,Greece
EU_South,Italy
EU_South,Malta
EU_South,Portugal
EU_South,Spain
Former_USSR,Armenia
Former_USSR,Azerbaijan
Former_USSR,Belarus
Former_USSR,Georgia
Former_USSR,Kazakhstan
Former_USSR,Kyrgyzstan
Former_USSR,MoldovaRep
Former_USSR,Tajikistan
Former_USSR,Turkmenistan
Former_USSR,Uzbekistan
IndiaReg,India
IndonesiaReg,Indonesia
JapanReg,Japan
MalaysiaReg,Malaysia
MexicoReg,Mexico
MiddleEast,Bahrain
MiddleEast,Iran
MiddleEast,Iraq
MiddleEast,Israel
MiddleEast,Jordan
MiddleEast,Kuwait
MiddleEast,Lebanon
MiddleEast,Oman
MiddleEast,Palestin
MiddleEast,Qatar
MiddleEast,SaudiArabia
MiddleEast,Syria
MiddleEast,UntdArabEm
MiddleEast,Yemen
NewZealandReg,NewZealand
NorthernAf,Algeria
NorthernAf,Egypt
NorthernAf,Libya
NorthernAf,Morocco
NorthernAf,Tunisia
NorthernAf,WestSahara
Pacific_Islands,FijiIslands
Pacific_Islands,FrPolynesia
Pacific_Islands,NewCaledonia
Pacific_Islands,PapuaNGuin
Pacific_Islands,Samoa
Pacific_Islands,SolomonIs
Pacific_Islands,Vanuatu
RCAM,Bahamas
RCAM,Belize
RCAM,CostaRica
RCAM,Cuba
RCAM,DominicanRp
RCAM,ElSalvador
RCAM,Guadeloupe
RCAM,Guatemala
RCAM,Haiti
RCAM,Honduras
RCAM,Jamaica
RCAM,Nicaragua
RCAM,Panama
RCAM,TrinidadTob
RCEU,Albania
RCEU,BosniaHerzg
RCEU,Macedonia
RCEU,Serbia-Monte
ROWE,Greenland
ROWE,Iceland
ROWE,Norway
ROWE,Switzerland
RSAM,Bolivia
RSAM,Chile
RSAM,Colombia
RSAM,Ecuador
RSAM,FalklandIs
RSAM,FrGuiana
RSAM,Guyana
RSAM,Paraguay
RSAM,Peru
RSAM,Suriname
RSAM,Uruguay
RSAM,Venezuela
RSAS,Bangladesh
RSAS,Bhutan
RSAS,Nepal
RSAS,Pakistan
RSAS,SriLanka
RSEA_OPA,BruneiDarsm
RSEA_OPA,Myanmar
RSEA_OPA,Philippines
RSEA_OPA,Singapore
RSEA_OPA,Thailand
RSEA_OPA,TimorLeste
RSEA_PAC,Cambodia
RSEA_PAC,KoreaDPRp
RSEA_PAC,Laos
RSEA_PAC,Mongolia
RSEA_PAC,VietNam
RussiaReg,RussianFed
SouthAfrReg,SouthAfrica
SouthKorea,KoreaRep
EasternAf,Burundi
EasternAf,Ethiopia
EasternAf,Kenya
EasternAf,Rwanda
EasternAf,Tanzania
EasternAf,Uganda
SouthernAf,Angola
SouthernAf,Botswana
SouthernAf,Comoros
SouthernAf,Lesotho
SouthernAf,Madagascar
SouthernAf,Malawi
SouthernAf,Mauritius
SouthernAf,Mozambique
SouthernAf,Namibia
SouthernAf,Reunion
SouthernAf,Swaziland
SouthernAf,Zambia
SouthernAf,Zimbabwe
WesternAf,Benin
WesternAf,BurkinaFaso
WesternAf,CapeVerde
WesternAf,Chad
WesternAf,CotedIvoire
WesternAf,Djibouti
WesternAf,Eritrea
WesternAf,Gambia
WesternAf,Ghana
WesternAf,Guinea
WesternAf,GuineaBissau
WesternAf,Liberia
WesternAf,Mali
WesternAf,Mauritania
WesternAf,Niger
WesternAf,Nigeria
WesternAf,Senegal
WesternAf,SierraLeone
WesternAf,Somalia
WesternAf,Sudan
WesternAf,Togo
TurkeyReg,Turkey
UkraineReg,Ukraine
USAReg,PuertoRico
USAReg,USA
