Taxa,Fuel Type,Fuel Energy,Source
Alaria esculenta,Methane,9.54516129,\citep{Allen_What_2015}
Ascophyllum nodosum,Methane,9.90797546,\citep{Allen_What_2015}
Fucus serratus,Methane,4.790322581,"\citep{Allen_What_2015,Vanegas_Green_2013,Chen_Macroalgae_2015}"
Fucus vesiculosus,Methane,6.883870968,\citep{Allen_What_2015}
Gelidium amansii,Ethanol,19.225,\citep{Tan_Advances_2020}
Gracilaria chilensis,Biochar,13.6,\citep{Aitken_Life_2014}
Gracilaria chilensis,Ethanol,1.4625,\citep{Aitken_Life_2014}
Gracilaria gracilis,Biochar,13.6,\citep{Lee_State_2020}
Gracilaria gracilis,Ethanol,14.2625,\citep{Lee_State_2020}
Gracilaria verrucosa,Biochar,13.6,"\citep{Ramachandra_Bioethanol_2020,Tan_Advances_2020}"
Gracilaria verrucosa,Ethanol,21.075,"\citep{Ramachandra_Bioethanol_2020,Tan_Advances_2020}"
Kappaphycus alvarezii,Biochar,15.4,\citep{Tan_Advances_2020}
Kappaphycus alvarezii,Ethanol,13.41875,\citep{Tan_Advances_2020}
Laminaria digitata,Ethanol,18.6275,"\citep{Allen_What_2015,Vanegas_Green_2013,Deng_Improving_2020,Chen_Macroalgae_2015}"
Laminaria digitata,Methane,6.821940463,"\citep{Allen_What_2015,Vanegas_Green_2013,Deng_Improving_2020,Chen_Macroalgae_2015}"
Laminaria hyperborea,Ethanol,18.6275,\citep{Ramachandra_Bioethanol_2020}
Laminaria hyperborea,Methane,7.983870968,\citep{Ramachandra_Bioethanol_2020}
Macrocystis pyrifera,Ethanol,3.0125,\citep{Aitken_Life_2014}
Neopyropia yezoensis,Biooil,46.74,\cite{lee_state_2020}
Neopyropia yezoensis,Aq_Phase,6.75,\cite{lee_state_2020}
Neopyropia yezoensis,Org_Phase,29.74,\cite{lee_state_2020}
Palmaria palmata,Ethanol,8.475,\citep{Ramachandra_Bioethanol_2020}
Saccharina japonica,Biochar,11.5875,"\citep{Chen_Macroalgae_2015,Ramachandra_Bioethanol_2020,Tan_Advances_2020,Lee_State_2020}"
Saccharina japonica,Biooil,43.8908,"\citep{Chen_Macroalgae_2015,Ramachandra_Bioethanol_2020,Tan_Advances_2020,Lee_State_2020}"
Saccharina japonica,Aq_Phase,12.24,"\citep{Chen_Macroalgae_2015,Ramachandra_Bioethanol_2020,Tan_Advances_2020,Lee_State_2020}"
Saccharina japonica,Org_Phase,32.9475,"\citep{Chen_Macroalgae_2015,Ramachandra_Bioethanol_2020,Tan_Advances_2020,Lee_State_2020}"
Saccharina japonica,Syn_Gas,8.75,"\citep{Chen_Macroalgae_2015,Ramachandra_Bioethanol_2020,Tan_Advances_2020,Lee_State_2020}"
Saccharina japonica,Ethanol,19.93461538,"\citep{Chen_Macroalgae_2015,Ramachandra_Bioethanol_2020,Tan_Advances_2020,Lee_State_2020}"
Saccharina japonica,Methane,12.24193548,"\citep{Chen_Macroalgae_2015,Ramachandra_Bioethanol_2020,Tan_Advances_2020,Lee_State_2020}"
Saccharina latissima,Biochar,12.34375,"\citep{Allen_What_2015,Vanegas_Green_2013,Deng_Improving_2020}"
Saccharina latissima,Biooil,43.8908,"\citep{Allen_What_2015,Vanegas_Green_2013,Deng_Improving_2020}"
Saccharina latissima,Aq_Phase,12.24,"\citep{Allen_What_2015,Vanegas_Green_2013,Deng_Improving_2020}"
Saccharina latissima,Org_Phase,32.9475,"\citep{Allen_What_2015,Vanegas_Green_2013,Deng_Improving_2020}"
Saccharina latissima,Syn_Gas,8.75,"\citep{Allen_What_2015,Vanegas_Green_2013,Deng_Improving_2020}"
Saccharina latissima,Ethanol,19.93461538,"\citep{Allen_What_2015,Vanegas_Green_2013,Deng_Improving_2020}"
Saccharina latissima,Methane,10.68412162,"\citep{Allen_What_2015,Vanegas_Green_2013,Deng_Improving_2020}"
Ulva clathrata,Biochar,29.25,\cite{lee_state_2020}
Ulva clathrata,Biooil,26.88960526,\cite{lee_state_2020}
Ulva clathrata,Ethanol,21.1375,\cite{lee_state_2020}
Ulva clathrata,Methane,6.761764706,\cite{lee_state_2020}
Ulva lactuca,Biochar,29.25,"\citep{Allen_What_2015,Lee_State_2020}"
Ulva lactuca,Biooil,22.3,"\citep{Allen_What_2015,Lee_State_2020}"
Ulva lactuca,Ethanol,23.04,"\citep{Allen_What_2015,Lee_State_2020}"
Ulva lactuca,Methane,6.675377468,"\citep{Allen_What_2015,Lee_State_2020}"
Ulva pertusa,Biochar,29.25,\citep{Ramachandra_Bioethanol_2020}
Ulva pertusa,Biooil,26.88960526,\citep{Ramachandra_Bioethanol_2020}
Ulva pertusa,Ethanol,22.81,\citep{Ramachandra_Bioethanol_2020}
Ulva pertusa,Methane,6.761764706,\citep{Ramachandra_Bioethanol_2020}
Ulva prolifera,Biochar,29.25,\citep{Lee_State_2020}
Ulva prolifera,Biooil,31.47921053,\citep{Lee_State_2020}
Ulva prolifera,Ethanol,21.1375,\citep{Lee_State_2020}
Ulva prolifera,Methane,6.761764706,\citep{Lee_State_2020}
Undaria pinnatifida,Biochar,12.7,"\citep{Chen_Macroalgae_2015,Lee_State_2020}"
Undaria pinnatifida,Aq_Phase,9.56,"\citep{Chen_Macroalgae_2015,Lee_State_2020}"
Undaria pinnatifida,Org_Phase,23.33,"\citep{Chen_Macroalgae_2015,Lee_State_2020}"
Undaria pinnatifida,Ethanol,7.05,"\citep{Chen_Macroalgae_2015,Lee_State_2020}"
