"Taxa","Protein min","Protein max","Carb min","Carb max","Lipid min","Lipid max","Energy min","Energy max","Source"
"Alaria esculenta",9,20,46,51,1,2,2290,3020,"\citep{Makkar_Seaweeds_2016,Tibbetts_Nutritional_2016,Afonso_Bioactive_2021,Morais_Seaweed_2020,Schiener_seasonal_2015,pereira_review_2011}"
"Ascophyllum nodosum",3,15,59.1,59.1,3.45,8.6,2794.5,3738,"\citep{Tibbetts_Nutritional_2016,Makkar_Seaweeds_2016,Fleurence_Seaweed_1999}"
"Asparagopsis armata",21.5,27.7,37.9,44.1,1.3,4.7,2493,3295,"\citep{vega_chemical_2018}"
"Asparagopsis taxiformis",17.44,17.66,39.08,41.92,6.08,7.16,2808,3027.6,"\citep{Nunes_Biochemical_2017,McDermid_Nutritional_2003}"
"Caulerpa lentillifera",10,13,38,59,0.86,1.11,1997.4,2979.9,"\citep{Morais_Seaweed_2020,pereira_review_2011}"
"Caulerpa racemosa",17.8,18.4,33,41,9.8,9.8,2914,3258,"\citep{Morais_Seaweed_2020,pereira_review_2011}"
"Chondracanthus chamissoi",10.6,17.8,39.3,76.9,0.4,2.4,2032,4004,"\citep{vega_chemical_2018}"
"Chondrus crispus",6.64,21,55,68,1,3,2555.6,3830,"\citep{Tibbetts_Nutritional_2016,Morais_Seaweed_2020,Nunes_Biochemical_2017,pereira_review_2011}"
"Codium fragile",8,11,39,67.2,0.5,1.5,1925,3263,"\citep{Morais_Seaweed_2020,vega_chemical_2018,pereira_review_2011}"
"Costaria costata",17.3,19.1,5.7,5.7,2.2,2.2,1118,1190,"\citep{vega_chemical_2018}"
"Durvillaea antarctica",7,12.5,47.2,72.6,0.7,4.9,2231,3845,"\citep{Ortiz_Dietary_2006,vega_chemical_2018}"
"Eisenia arborea",7.4,11.4,50.8,58.4,0.5,0.7,2373,2855,"\citep{vega_chemical_2018}"
"Eucheuma denticulatum",4.6,5.2,27.3,28.7,2,2.4,1456,1572,"\citep{McDermid_Nutritional_2003}"
"Fucus vesiculosus",3,17,46.8,46.8,1.9,3.95,2163,2907.5,"\citep{Tibbetts_Nutritional_2016,Makkar_Seaweeds_2016,Morais_Seaweed_2020,pereira_review_2011}"
"Gelidium amansii",12.17,14.29,52.45,54.87,0.95,1.37,2670.3,2889.7,NA
"Gracilaria chilensis",13.5,21.2,50.8,67.3,1.3,2.8,2689,3792,"\citep{vega_chemical_2018,pereira_review_2011}"
"Gracilaria verrucosa",9.5,27,63,76,0.84,2.5,2975.6,4345,"\citep{Allen_What_2015,Pangestuti_Seaweed_2015}"
"Kappaphycus alvarezii",4.6,5.2,27.3,28.7,2,2.4,1456,1572,"\citep{McDermid_Nutritional_2003}"
"Laminaria digitata",5.8,15,48,48,1,1,2242,2610,"\citep{Morais_Seaweed_2020,Makkar_Seaweeds_2016,Schiener_seasonal_2015,pereira_review_2011}"
"Laminaria hyperborea",4.7,8.1,52,61,0.88,1.68,2347.2,2915.2,"\citep{Schiener_seasonal_2015,Maehre_Characterization_2014}"
"Macrocystis pyrifera",8,15.7,15.8,75.5,0.3,0.8,979,3720,"\citep{vega_chemical_2018,Makkar_Seaweeds_2016}"
"Neopyropia yezoensis",31,44,44.4,44.4,2.1,2.1,3205,3725,"\citep{Morais_Seaweed_2020}"
"Palmaria palmata",8,35,46,56,0.7,3,2223,3910,"\citep{Makkar_Seaweeds_2016,Tibbetts_Nutritional_2016,Morais_Seaweed_2020}"
"Porphyra umbilicalis",29,39,43,43,0.3,0.3,2907,3307,"\citep{Morais_Seaweed_2020}"
"Saccharina japonica",7,8,51.9,51.9,1,1.9,2446,2567,"\citep{Morais_Seaweed_2020,pereira_review_2011}"
"Saccharina latissima",5,26,52,61,0.5,1.1,2325,3579,"\citep{Tibbetts_Nutritional_2016,Afonso_Bioactive_2021,Morais_Seaweed_2020,Schiener_seasonal_2015,Makkar_Seaweeds_2016,pereira_review_2011}"
"Ulva clathrata",22,26,44.8,49.6,2.5,3.5,2897,3339,NA
"Ulva lactuca",7.13,28.3,36,65.5,0.3,3.7,1752.2,4085,"\citep{Morais_Seaweed_2020,Fleurence_Seaweed_1999,Nunes_Biochemical_2017,vega_chemical_2018,Makkar_Seaweeds_2016,pereira_review_2011}"
"Ulva pertusa",20,26,47,47,0.9,2,2761,3100,"\citep{Morais_Seaweed_2020,pereira_review_2011}"
"Ulva prolifera",23.41,24.03,35.93,36.47,12.39,12.61,3488.7,3554.9,"\citep{Øverland_Marine_2018}"
"Ulva reticulata",17,20,50,58,1.7,2.3,2833,3327,"\citep{Morais_Seaweed_2020}"
"Undaria pinnatifida",12,23,45,52.8,1.05,3.4,2374.5,3338,"\citep{Morais_Seaweed_2020,vega_chemical_2018,pereira_review_2011}"
