"Taxa","FOOD","FEED","FUEL"
"Alaria esculenta",1,1,1
"Ascophyllum nodosum",0,1,1
"Asparagopsis armata",0,1,0
"Asparagopsis taxiformis",1,1,0
"Caulerpa lentillifera",1,1,0
"Caulerpa racemosa",1,1,0
"Chondracanthus chamissoi",1,1,0
"Chondrus crispus",1,1,0
"Codium fragile",1,1,0
"Costaria costata",1,1,0
"Durvillaea antarctica",1,1,0
"Eisenia arborea",0,1,0
"Eucheuma denticulatum",0,1,0
"Fucus serratus",0,0,1
"Fucus vesiculosus",1,1,1
"Gelidium amansii",1,1,1
"Gracilaria chilensis",0,1,1
"Gracilaria gracilis",0,0,1
"Gracilaria verrucosa",1,1,1
"Kappaphycus alvarezii",1,1,1
"Laminaria digitata",0,1,1
"Laminaria hyperborea",1,1,1
"Macrocystis pyrifera",1,1,1
"Neopyropia yezoensis",1,1,1
"Palmaria palmata",1,1,1
"Porphyra umbilicalis",1,1,0
"Saccharina japonica",1,1,1
"Saccharina latissima",1,1,1
"Ulva clathrata",1,1,1
"Ulva lactuca",1,1,1
"Ulva pertusa",1,1,1
"Ulva prolifera",1,1,1
"Ulva reticulata",1,1,0
"Undaria pinnatifida",1,1,1
