Taxa,water content,Source
Alaria esculenta,77.5,\citep{overland_marine_2019}
Ascophyllum nodosum,89.65,\citep{bikker_evaluation_2020}
Asparagopsis armata,81.5,\citep{overland_marine_2019}
Asparagopsis taxiformis,81.5,\citep{overland_marine_2019}
Caulerpa lentillifera,85,\citep{overland_marine_2019}
Caulerpa racemosa,85,\citep{overland_marine_2019}
Chondracanthus chamissoi,81.5,\citep{overland_marine_2019}
Chondrus crispus,89.1,\citep{bikker_evaluation_2020}
Codium fragile,85,\citep{overland_marine_2019}
Costaria costata,77.5,\citep{overland_marine_2019}
Durvillaea antarctica,77.5,\citep{overland_marine_2019}
Eisenia arborea,77.5,\citep{overland_marine_2019}
Eucheuma denticulatum,81.5,\citep{overland_marine_2019}
Fucus serratus,77.5,\citep{overland_marine_2019}
Fucus vesiculosus,77.5,\citep{overland_marine_2019}
Gelidium amansii,81.5,\citep{overland_marine_2019}
Gracilaria chilensis,81.5,\citep{overland_marine_2019}
Gracilaria gracilis,81.5,\citep{overland_marine_2019}
Gracilaria verrucosa,81.5,\citep{overland_marine_2019}
Kappaphycus alvarezii,83.33333333,\citep{rama_seaweed_2018}
Laminaria digitata,90.7,\citep{bikker_evaluation_2020}
Laminaria hyperborea,77.5,\citep{overland_marine_2019}
Macrocystis pyrifera,77.5,\citep{overland_marine_2019}
Neopyropia yezoensis,81.5,\citep{overland_marine_2019}
Palmaria palmata,94.4,\citep{bikker_evaluation_2020}
Porphyra umbilicalis,81.5,\citep{overland_marine_2019}
Saccharina japonica,77.5,\citep{overland_marine_2019}
Saccharina latissima,88.8,\citep{bikker_evaluation_2020}
Ulva clathrata,85,\citep{overland_marine_2019}
Ulva lactuca,86.1,\citep{bikker_evaluation_2020}
Ulva pertusa,85,\citep{overland_marine_2019}
Ulva prolifera,85,\citep{overland_marine_2019}
Ulva reticulata,85,\citep{overland_marine_2019}
Undaria pinnatifida,77.5,\citep{overland_marine_2019}
